Code,Name,Category,Price_CLP,Availability,Delivery,Inventario,Supplier,Brand
PRIA24Z3LT,NOTEBOOK HP PROBOOK 440 G11 - U7 - 16GB - 512 GB - W11P,NOTEBOOK PROBOOK,1426151.111111111,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI9C709LT,NOTEBOOK HP PROBOOK 440 G10 - I5 - 16GB - 512 GB - W11P,NOTEBOOK PROBOOK,1527777.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI27754,SCANNER EPSON PERFECTION V850 FOTO,SCANNER PERFECTION,1531638.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI10222,TRITURADORA DE PAPEL HSM CHALLA 4X25MM PARA 11 HOJAS,TRITURADORA PAPEL,1318534.4444444445,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HSM
PRI98040,TRITURADORA DE PAPEL REXEL OPTIMUM AUTOFEED 600X 600 HOJAS,TRITURADORA DE,1573987.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,REXEL
PRI86577,TRITURADORA DE PAPEL FELLOWES DEPARTAMENTAL 325 CI,TRITURADORA DE PAPEL,1574915.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,FELLOWES
PRIA1UP8LT,NOTEBOOK HP 840 G11 ‚ÄÌ U7 - 32GB ‚ÄÌ 1TB - W11P,NOTEBOOK G,1687043.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI801F4LT,NOTEBOOK HP ELITEBOOK 640 G10 - I7 - 16GB - 512 GB - W11P,NOTEBOOK ELITEBOOK,1820800.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI1PV64A,IMPRESORA HP MULTIFUNCIONAL LASERJET ENTERPRISE M528DN,IMPRESORA HP MULTIFUNCIONAL,2346666.6666666665,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI29222,PLOTTER CANON IMAGEPROGRAF TM-340,PLOTTER IMAGEPROGRAF,2401501.111111111,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,CANON
PRI86705,TRITURADORA DE PAPEL FELLOWES AUTOMAX 350C,TRITURADORA DE PAPEL,1685467.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,FELLOWES
